,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y
6268,Eric Davis Rita Deb Burman,Eric Davis,nm5586683,Rita Deb Burman,nm5586699,Company Limited,tt0067729,1
6269,Eric Davis Ritun Chatterjee,Eric Davis,nm5586683,Ritun Chatterjee,nm5586684,Company Limited,tt0067729,1
6270,Eric Davis Sharmila Tagore,Eric Davis,nm5586683,Sharmila Tagore,nm0846616,Company Limited,tt0067729,1
6271,Eric Davis Shefali,Eric Davis,nm5586683,Shefali,nm8236207,Company Limited,tt0067729,1
6272,Eric Davis Tarun Bhattacharya,Eric Davis,nm5586683,Tarun Bhattacharya,nm5586658,Company Limited,tt0067729,1
6273,Eric Davis Vishnu Vaswani,Eric Davis,nm5586683,Vishnu Vaswani,nm5586655,Company Limited,tt0067729,1
6274,Erick Avari Alakananda Ray,Erick Avari,nm0042805,Alakananda Ray,nm0746923,Kanchenjungha,tt0056134,1
6275,Erick Avari Anil Chatterjee,Erick Avari,nm0042805,Anil Chatterjee,nm0154110,Kanchenjungha,tt0056134,1
6276,Erick Avari Anubha Gupta,Erick Avari,nm0042805,Anubha Gupta,nm0348465,Kanchenjungha,tt0056134,1
6277,Erick Avari Arun Mukherjee,Erick Avari,nm0042805,Arun Mukherjee,nm0611509,Kanchenjungha,tt0056134,1
6278,Erick Avari Chhabi Biswas,Erick Avari,nm0042805,Chhabi Biswas,nm0084435,Kanchenjungha,tt0056134,1
6279,Erick Avari David Royals,Erick Avari,nm0042805,David Royals,nm5572166,Kanchenjungha,tt0056134,1
6280,Erick Avari Guinye,Erick Avari,nm0042805,Guinye,nm5572192,Kanchenjungha,tt0056134,1
6281,Erick Avari Haridhan Mukherjee,Erick Avari,nm0042805,Haridhan Mukherjee,nm0154128,Kanchenjungha,tt0056134,1
6282,Erick Avari Indrani Singh,Erick Avari,nm0042805,Indrani Singh,nm0802136,Kanchenjungha,tt0056134,1
6283,Erick Avari Karuna Bannerjee,Erick Avari,nm0042805,Karuna Bannerjee,nm0052334,Kanchenjungha,tt0056134,1
6284,Erick Avari N. Viswanathan,Erick Avari,nm0042805,N. Viswanathan,nm0899801,Kanchenjungha,tt0056134,1
6285,Erick Avari Nilima Roy Chowdhuri,Erick Avari,nm0042805,Nilima Roy Chowdhuri,nm1413235,Kanchenjungha,tt0056134,1
6286,Erick Avari Pahadi Sanyal,Erick Avari,nm0042805,Pahadi Sanyal,nm0764406,Kanchenjungha,tt0056134,1
6287,Erick Avari Subrata Sensharma,Erick Avari,nm0042805,Subrata Sensharma,nm0784478,Kanchenjungha,tt0056134,1
6288,Erick Avari Vidya Sinha,Erick Avari,nm0042805,Vidya Sinha,nm0802378,Kanchenjungha,tt0056134,1
6289,Farida Jalal Agha,Farida Jalal,nm0416077,Agha,nm0013023,The Chess Players,tt0076696,1
6290,Farida Jalal Amitabh Bachchan,Farida Jalal,nm0416077,Amitabh Bachchan,nm0000821,The Chess Players,tt0076696,1
6291,Farida Jalal Amjad Khan,Farida Jalal,nm0416077,Amjad Khan,nm0451166,The Chess Players,tt0076696,1
6292,Farida Jalal Amrit Bhushan Gujral,Farida Jalal,nm0416077,Amrit Bhushan Gujral,nm1839816,The Chess Players,tt0076696,1
6293,Farida Jalal Ashfaq Mirza,Farida Jalal,nm0416077,Ashfaq Mirza,nm1840026,The Chess Players,tt0076696,1
6294,Farida Jalal Barry John,Farida Jalal,nm0416077,Barry John,nm0424134,The Chess Players,tt0076696,1
6295,Farida Jalal Bhudo Advani,Farida Jalal,nm0416077,Bhudo Advani,nm0012539,The Chess Players,tt0076696,1
6296,Farida Jalal David Abraham,Farida Jalal,nm0416077,David Abraham,nm0008932,The Chess Players,tt0076696,1
6297,Farida Jalal Farida Jalal,Farida Jalal,nm0416077,Farida Jalal,nm0416077,The Chess Players,tt0076696,1
6298,Farida Jalal Farooq Shaikh,Farida Jalal,nm0416077,Farooq Shaikh,nm0787582,The Chess Players,tt0076696,1
6299,Farida Jalal Kamu Mukherjee,Farida Jalal,nm0416077,Kamu Mukherjee,nm0611536,The Chess Players,tt0076696,1
6300,Farida Jalal Khairatilal Lahori,Farida Jalal,nm0416077,Khairatilal Lahori,nm1839940,The Chess Players,tt0076696,1
6301,Farida Jalal Leela Mishra,Farida Jalal,nm0416077,Leela Mishra,nm0592789,The Chess Players,tt0076696,1
6302,Farida Jalal Madan Sudan,Farida Jalal,nm0416077,Madan Sudan,nm1840234,The Chess Players,tt0076696,1
6303,Farida Jalal Pradip Shankar,Farida Jalal,nm0416077,Pradip Shankar,nm1840206,The Chess Players,tt0076696,1
6304,Farida Jalal Ramesh Khosla,Farida Jalal,nm0416077,Ramesh Khosla,nm1810171,The Chess Players,tt0076696,1
6305,Farida Jalal Saeed Jaffrey,Farida Jalal,nm0416077,Saeed Jaffrey,nm0006762,The Chess Players,tt0076696,1
6306,Farida Jalal Samarth Narain,Farida Jalal,nm0416077,Samarth Narain,nm0621204,The Chess Players,tt0076696,1
6307,Farida Jalal Sanjeev Kumar,Farida Jalal,nm0416077,Sanjeev Kumar,nm0474876,The Chess Players,tt0076696,1
6308,Farida Jalal Saswati Sen,Farida Jalal,nm0416077,Saswati Sen,nm1842135,The Chess Players,tt0076696,1
6309,Farida Jalal Shabana Azmi,Farida Jalal,nm0416077,Shabana Azmi,nm0000818,The Chess Players,tt0076696,1
6310,Farida Jalal Shaik Farid,Farida Jalal,nm0416077,Shaik Farid,nm1839749,The Chess Players,tt0076696,1
6311,Farida Jalal Tom Alter,Farida Jalal,nm0416077,Tom Alter,nm0022758,The Chess Players,tt0076696,1
6312,Farida Jalal Uttamram Nagar,Farida Jalal,nm0416077,Uttamram Nagar,nm1840054,The Chess Players,tt0076696,1
6313,Farida Jalal Veena,Farida Jalal,nm0416077,Veena,nm0474940,The Chess Players,tt0076696,1
6314,Farida Jalal Victor Banerjee,Farida Jalal,nm0416077,Victor Banerjee,nm0051856,The Chess Players,tt0076696,1
6315,Farooq Shaikh Agha,Farooq Shaikh,nm0787582,Agha,nm0013023,The Chess Players,tt0076696,1
6316,Farooq Shaikh Amitabh Bachchan,Farooq Shaikh,nm0787582,Amitabh Bachchan,nm0000821,The Chess Players,tt0076696,1
6317,Farooq Shaikh Amjad Khan,Farooq Shaikh,nm0787582,Amjad Khan,nm0451166,The Chess Players,tt0076696,1
6318,Farooq Shaikh Amrit Bhushan Gujral,Farooq Shaikh,nm0787582,Amrit Bhushan Gujral,nm1839816,The Chess Players,tt0076696,1
6319,Farooq Shaikh Ashfaq Mirza,Farooq Shaikh,nm0787582,Ashfaq Mirza,nm1840026,The Chess Players,tt0076696,1
6320,Farooq Shaikh Barry John,Farooq Shaikh,nm0787582,Barry John,nm0424134,The Chess Players,tt0076696,1
6321,Farooq Shaikh Bhudo Advani,Farooq Shaikh,nm0787582,Bhudo Advani,nm0012539,The Chess Players,tt0076696,1
6322,Farooq Shaikh David Abraham,Farooq Shaikh,nm0787582,David Abraham,nm0008932,The Chess Players,tt0076696,1
6323,Farooq Shaikh Farida Jalal,Farooq Shaikh,nm0787582,Farida Jalal,nm0416077,The Chess Players,tt0076696,1
6324,Farooq Shaikh Farooq Shaikh,Farooq Shaikh,nm0787582,Farooq Shaikh,nm0787582,The Chess Players,tt0076696,1
6325,Farooq Shaikh Kamu Mukherjee,Farooq Shaikh,nm0787582,Kamu Mukherjee,nm0611536,The Chess Players,tt0076696,1
6326,Farooq Shaikh Khairatilal Lahori,Farooq Shaikh,nm0787582,Khairatilal Lahori,nm1839940,The Chess Players,tt0076696,1
6327,Farooq Shaikh Leela Mishra,Farooq Shaikh,nm0787582,Leela Mishra,nm0592789,The Chess Players,tt0076696,1
6328,Farooq Shaikh Madan Sudan,Farooq Shaikh,nm0787582,Madan Sudan,nm1840234,The Chess Players,tt0076696,1
6329,Farooq Shaikh Pradip Shankar,Farooq Shaikh,nm0787582,Pradip Shankar,nm1840206,The Chess Players,tt0076696,1
6330,Farooq Shaikh Ramesh Khosla,Farooq Shaikh,nm0787582,Ramesh Khosla,nm1810171,The Chess Players,tt0076696,1
6331,Farooq Shaikh Saeed Jaffrey,Farooq Shaikh,nm0787582,Saeed Jaffrey,nm0006762,The Chess Players,tt0076696,1
6332,Farooq Shaikh Samarth Narain,Farooq Shaikh,nm0787582,Samarth Narain,nm0621204,The Chess Players,tt0076696,1
6333,Farooq Shaikh Sanjeev Kumar,Farooq Shaikh,nm0787582,Sanjeev Kumar,nm0474876,The Chess Players,tt0076696,1
6334,Farooq Shaikh Saswati Sen,Farooq Shaikh,nm0787582,Saswati Sen,nm1842135,The Chess Players,tt0076696,1
6335,Farooq Shaikh Shabana Azmi,Farooq Shaikh,nm0787582,Shabana Azmi,nm0000818,The Chess Players,tt0076696,1
6336,Farooq Shaikh Shaik Farid,Farooq Shaikh,nm0787582,Shaik Farid,nm1839749,The Chess Players,tt0076696,1
6337,Farooq Shaikh Tom Alter,Farooq Shaikh,nm0787582,Tom Alter,nm0022758,The Chess Players,tt0076696,1
6338,Farooq Shaikh Uttamram Nagar,Farooq Shaikh,nm0787582,Uttamram Nagar,nm1840054,The Chess Players,tt0076696,1
6339,Farooq Shaikh Veena,Farooq Shaikh,nm0787582,Veena,nm0474940,The Chess Players,tt0076696,1
6340,Farooq Shaikh Victor Banerjee,Farooq Shaikh,nm0787582,Victor Banerjee,nm0051856,The Chess Players,tt0076696,1
6341,G.V.R. Murthy Althia Ensob,G.V.R. Murthy,nm5586656,Althia Ensob,nm5586696,Company Limited,tt0067729,1
6342,G.V.R. Murthy Amalendu Gupta,G.V.R. Murthy,nm5586656,Amalendu Gupta,nm5586697,Company Limited,tt0067729,1
6343,G.V.R. Murthy Anita Mukhopadhyay,G.V.R. Murthy,nm5586656,Anita Mukhopadhyay,nm4444621,Company Limited,tt0067729,1
6344,G.V.R. Murthy Barry Chakraborty,G.V.R. Murthy,nm5586656,Barry Chakraborty,nm5586682,Company Limited,tt0067729,1
6345,G.V.R. Murthy Barun Chanda,G.V.R. Murthy,nm5586656,Barun Chanda,nm0151285,Company Limited,tt0067729,1
6346,G.V.R. Murthy Basudeb Mukherjee,G.V.R. Murthy,nm5586656,Basudeb Mukherjee,nm5586668,Company Limited,tt0067729,1
6347,G.V.R. Murthy Dipak Dutta,G.V.R. Murthy,nm5586656,Dipak Dutta,nm5586675,Company Limited,tt0067729,1
6348,G.V.R. Murthy Dipankar Dey,G.V.R. Murthy,nm5586656,Dipankar Dey,nm0212541,Company Limited,tt0067729,1
6349,G.V.R. Murthy Eric Davis,G.V.R. Murthy,nm5586656,Eric Davis,nm5586683,Company Limited,tt0067729,1
6350,G.V.R. Murthy G.V.R. Murthy,G.V.R. Murthy,nm5586656,G.V.R. Murthy,nm5586656,Company Limited,tt0067729,1
6351,G.V.R. Murthy Haradhan Bannerjee,G.V.R. Murthy,nm5586656,Haradhan Bannerjee,nm0052329,Company Limited,tt0067729,1
6352,G.V.R. Murthy Harindranath Chattopadhyay,G.V.R. Murthy,nm5586656,Harindranath Chattopadhyay,nm0154129,Company Limited,tt0067729,1
6353,G.V.R. Murthy Indira Roy,G.V.R. Murthy,nm5586656,Indira Roy,nm0747048,Company Limited,tt0067729,1
6354,G.V.R. Murthy John Watkin,G.V.R. Murthy,nm5586656,John Watkin,nm5586692,Company Limited,tt0067729,1
6355,G.V.R. Murthy Kalyan Sen,G.V.R. Murthy,nm5586656,Kalyan Sen,nm4474657,Company Limited,tt0067729,1
6356,G.V.R. Murthy Mani Iyer,G.V.R. Murthy,nm5586656,Mani Iyer,nm5586710,Company Limited,tt0067729,1
6357,G.V.R. Murthy Manju Puri,G.V.R. Murthy,nm5586656,Manju Puri,nm5586661,Company Limited,tt0067729,1
6358,G.V.R. Murthy Minakshi Ganguly,G.V.R. Murthy,nm5586656,Minakshi Ganguly,nm5586666,Company Limited,tt0067729,1
6359,G.V.R. Murthy Miss Shefali,G.V.R. Murthy,nm5586656,Miss Shefali,nm0790750,Company Limited,tt0067729,1
6360,G.V.R. Murthy Parameshwar Pandey,G.V.R. Murthy,nm5586656,Parameshwar Pandey,nm5586659,Company Limited,tt0067729,1
6361,G.V.R. Murthy Paromita Chowdhury,G.V.R. Murthy,nm5586656,Paromita Chowdhury,nm0159541,Company Limited,tt0067729,1
6362,G.V.R. Murthy Peter Wales,G.V.R. Murthy,nm5586656,Peter Wales,nm5586690,Company Limited,tt0067729,1
6363,G.V.R. Murthy Prashanta Kumar Mallick,G.V.R. Murthy,nm5586656,Prashanta Kumar Mallick,nm5586717,Company Limited,tt0067729,1
6364,G.V.R. Murthy Promode Ganguly,G.V.R. Murthy,nm5586656,Promode Ganguly,nm0304365,Company Limited,tt0067729,1
6365,G.V.R. Murthy Rahul Bhagat,G.V.R. Murthy,nm5586656,Rahul Bhagat,nm5586688,Company Limited,tt0067729,1
6366,G.V.R. Murthy Rambrij Thakur,G.V.R. Murthy,nm5586656,Rambrij Thakur,nm5586700,Company Limited,tt0067729,1
6367,G.V.R. Murthy Ratna Chatterjee,G.V.R. Murthy,nm5586656,Ratna Chatterjee,nm5586705,Company Limited,tt0067729,1
6368,G.V.R. Murthy Rita Deb Burman,G.V.R. Murthy,nm5586656,Rita Deb Burman,nm5586699,Company Limited,tt0067729,1
6369,G.V.R. Murthy Ritun Chatterjee,G.V.R. Murthy,nm5586656,Ritun Chatterjee,nm5586684,Company Limited,tt0067729,1
6370,G.V.R. Murthy Sharmila Tagore,G.V.R. Murthy,nm5586656,Sharmila Tagore,nm0846616,Company Limited,tt0067729,1
6371,G.V.R. Murthy Shefali,G.V.R. Murthy,nm5586656,Shefali,nm8236207,Company Limited,tt0067729,1
6372,G.V.R. Murthy Tarun Bhattacharya,G.V.R. Murthy,nm5586656,Tarun Bhattacharya,nm5586658,Company Limited,tt0067729,1
6373,G.V.R. Murthy Vishnu Vaswani,G.V.R. Murthy,nm5586656,Vishnu Vaswani,nm5586655,Company Limited,tt0067729,1
6374,Gadadhar Sen Abani Mukherjee,Gadadhar Sen,nm5570299,Abani Mukherjee,nm0611505,Abhijaan,tt0055724,1
6375,Gadadhar Sen Arati Das,Gadadhar Sen,nm5570299,Arati Das,nm1715270,Abhijaan,tt0055724,1
6376,Gadadhar Sen Arun Roy,Gadadhar Sen,nm5570299,Arun Roy,nm0746935,Abhijaan,tt0055724,1
6377,Gadadhar Sen Bhanu Ghosh,Gadadhar Sen,nm5570299,Bhanu Ghosh,nm0315879,Abhijaan,tt0055724,1
6378,Gadadhar Sen Bhola Bhattacharya,Gadadhar Sen,nm5570299,Bhola Bhattacharya,nm5570306,Abhijaan,tt0055724,1
6379,Gadadhar Sen Bireshwar Sarkhel,Gadadhar Sen,nm5570299,Bireshwar Sarkhel,nm4973262,Abhijaan,tt0055724,1
6380,Gadadhar Sen Bireswar Sen,Gadadhar Sen,nm5570299,Bireswar Sen,nm0784001,Abhijaan,tt0055724,1
6381,Gadadhar Sen Charuprakash Ghosh,Gadadhar Sen,nm5570299,Charuprakash Ghosh,nm0315882,Abhijaan,tt0055724,1
6382,Gadadhar Sen Debi Chattopadhyay,Gadadhar Sen,nm5570299,Debi Chattopadhyay,nm5570272,Abhijaan,tt0055724,1
6383,Gadadhar Sen Durgadas Bannerjee,Gadadhar Sen,nm5570299,Durgadas Bannerjee,nm1274537,Abhijaan,tt0055724,1
6384,Gadadhar Sen Gadadhar Sen,Gadadhar Sen,nm5570299,Gadadhar Sen,nm5570299,Abhijaan,tt0055724,1
6385,Gadadhar Sen Gyanesh Mukherjee,Gadadhar Sen,nm5570299,Gyanesh Mukherjee,nm0611525,Abhijaan,tt0055724,1
6386,Gadadhar Sen Haridhan Nag,Gadadhar Sen,nm5570299,Haridhan Nag,nm5570266,Abhijaan,tt0055724,1
6387,Gadadhar Sen Kali Chakraborty,Gadadhar Sen,nm5570299,Kali Chakraborty,nm4693009,Abhijaan,tt0055724,1
6388,Gadadhar Sen Kartik Chanda,Gadadhar Sen,nm5570299,Kartik Chanda,nm5570286,Abhijaan,tt0055724,1
6389,Gadadhar Sen Kartik Mukhopadhyay,Gadadhar Sen,nm5570299,Kartik Mukhopadhyay,nm5570269,Abhijaan,tt0055724,1
6390,Gadadhar Sen Krishnakali Bhattacharya,Gadadhar Sen,nm5570299,Krishnakali Bhattacharya,nm5024420,Abhijaan,tt0055724,1
6391,Gadadhar Sen Mahin Basu,Gadadhar Sen,nm5570299,Mahin Basu,nm5570216,Abhijaan,tt0055724,1
6392,Gadadhar Sen Narayan Das,Gadadhar Sen,nm5570299,Narayan Das,nm5024440,Abhijaan,tt0055724,1
6393,Gadadhar Sen Noni Ganguly,Gadadhar Sen,nm5570299,Noni Ganguly,nm0304363,Abhijaan,tt0055724,1
6394,Gadadhar Sen Rabi Ghosh,Gadadhar Sen,nm5570299,Rabi Ghosh,nm0315917,Abhijaan,tt0055724,1
6395,Gadadhar Sen Rathin Ghosh,Gadadhar Sen,nm5570299,Rathin Ghosh,nm4531527,Abhijaan,tt0055724,1
6396,Gadadhar Sen Reba Devi,Gadadhar Sen,nm5570299,Reba Devi,nm0222480,Abhijaan,tt0055724,1
6397,Gadadhar Sen Ruma Guha Thakurta,Gadadhar Sen,nm5570299,Ruma Guha Thakurta,nm0346614,Abhijaan,tt0055724,1
6398,Gadadhar Sen Samar Nag,Gadadhar Sen,nm5570299,Samar Nag,nm4554192,Abhijaan,tt0055724,1
6399,Gadadhar Sen Santi Chatterjee,Gadadhar Sen,nm5570299,Santi Chatterjee,nm0154155,Abhijaan,tt0055724,1
6400,Gadadhar Sen Shailen Ghosh,Gadadhar Sen,nm5570299,Shailen Ghosh,nm0315921,Abhijaan,tt0055724,1
6401,Gadadhar Sen Shankar Lahiri,Gadadhar Sen,nm5570299,Shankar Lahiri,nm5570281,Abhijaan,tt0055724,1
6402,Gadadhar Sen Shekhar Chatterjee,Gadadhar Sen,nm5570299,Shekhar Chatterjee,nm0154161,Abhijaan,tt0055724,1
6403,Gadadhar Sen Soumitra Chatterjee,Gadadhar Sen,nm5570299,Soumitra Chatterjee,nm0154164,Abhijaan,tt0055724,1
6404,Gadadhar Sen Waheeda Rehman,Gadadhar Sen,nm5570299,Waheeda Rehman,nm0716851,Abhijaan,tt0055724,1
6405,Gaja Basu Abdul Majid,Gaja Basu,nm5192755,Abdul Majid,nm5580441,The Adversary,tt0066237,1
6406,Gaja Basu Ajit Gangopadhyay,Gaja Basu,nm5192755,Ajit Gangopadhyay,nm3776744,The Adversary,tt0066237,1
6407,Gaja Basu Ajit Ghosh,Gaja Basu,nm5192755,Ajit Ghosh,nm4828558,The Adversary,tt0066237,1
6408,Gaja Basu Amar Bardhan,Gaja Basu,nm5192755,Amar Bardhan,nm5581289,The Adversary,tt0066237,1
6409,Gaja Basu Anil Ganguly,Gaja Basu,nm5192755,Anil Ganguly,nm5581710,The Adversary,tt0066237,1
6410,Gaja Basu Anindita Chatterjee,Gaja Basu,nm5192755,Anindita Chatterjee,nm5581505,The Adversary,tt0066237,1
6411,Gaja Basu Anja Savarwal,Gaja Basu,nm5192755,Anja Savarwal,nm5581377,The Adversary,tt0066237,1
6412,Gaja Basu Arabinda Banerjee,Gaja Basu,nm5192755,Arabinda Banerjee,nm5582332,The Adversary,tt0066237,1
6413,Gaja Basu Arun Dey,Gaja Basu,nm5192755,Arun Dey,nm5317227,The Adversary,tt0066237,1
6414,Gaja Basu Arya Mukherjee,Gaja Basu,nm5192755,Arya Mukherjee,nm5580578,The Adversary,tt0066237,1
6415,Gaja Basu Asgar Ali,Gaja Basu,nm5192755,Asgar Ali,nm5581814,The Adversary,tt0066237,1
6416,Gaja Basu Ashok Mitra,Gaja Basu,nm5192755,Ashok Mitra,nm1371495,The Adversary,tt0066237,1
6417,Gaja Basu B.P. Roy,Gaja Basu,nm5192755,B.P. Roy,nm5583237,The Adversary,tt0066237,1
6418,Gaja Basu Biplab Chakraborty,Gaja Basu,nm5192755,Biplab Chakraborty,nm4894691,The Adversary,tt0066237,1
6419,Gaja Basu Biplab Chatterjee,Gaja Basu,nm5192755,Biplab Chatterjee,nm0154118,The Adversary,tt0066237,1
6420,Gaja Basu Bishnupada Das,Gaja Basu,nm5192755,Bishnupada Das,nm5581584,The Adversary,tt0066237,1
6421,Gaja Basu Chandi Sen,Gaja Basu,nm5192755,Chandi Sen,nm5580103,The Adversary,tt0066237,1
6422,Gaja Basu Chittaranjan Chatterjee,Gaja Basu,nm5192755,Chittaranjan Chatterjee,nm5579731,The Adversary,tt0066237,1
6423,Gaja Basu Debraj Ray,Gaja Basu,nm5192755,Debraj Ray,nm0746988,The Adversary,tt0066237,1
6424,Gaja Basu Dhara Roy,Gaja Basu,nm5192755,Dhara Roy,nm0746995,The Adversary,tt0066237,1
6425,Gaja Basu Dhritiman Chatterjee,Gaja Basu,nm5192755,Dhritiman Chatterjee,nm0154122,The Adversary,tt0066237,1
6426,Gaja Basu Dibyendu Chatterjee,Gaja Basu,nm5192755,Dibyendu Chatterjee,nm4814634,The Adversary,tt0066237,1
6427,Gaja Basu Gaja Basu,Gaja Basu,nm5192755,Gaja Basu,nm5192755,The Adversary,tt0066237,1
6428,Gaja Basu Indira Devi,Gaja Basu,nm5192755,Indira Devi,nm7589831,The Adversary,tt0066237,1
6429,Gaja Basu Indra Roy,Gaja Basu,nm5192755,Indra Roy,nm5580588,The Adversary,tt0066237,1
6430,Gaja Basu Indrani Roy Chowdhury,Gaja Basu,nm5192755,Indrani Roy Chowdhury,nm5580718,The Adversary,tt0066237,1
6431,Gaja Basu Jayasree Kabir,Gaja Basu,nm5192755,Jayasree Kabir,nm0747072,The Adversary,tt0066237,1
6432,Gaja Basu K.K. Iyengar,Gaja Basu,nm5192755,K.K. Iyengar,nm5580479,The Adversary,tt0066237,1
6433,Gaja Basu Kalyan Chatterjee,Gaja Basu,nm5192755,Kalyan Chatterjee,nm0159537,The Adversary,tt0066237,1
6434,Gaja Basu Kalyan Sen,Gaja Basu,nm5192755,Kalyan Sen,nm4474657,The Adversary,tt0066237,1
6435,Gaja Basu Kaushik Deb,Gaja Basu,nm5192755,Kaushik Deb,nm5581726,The Adversary,tt0066237,1
6436,Gaja Basu Krishna Bose,Gaja Basu,nm5192755,Krishna Bose,nm0097880,The Adversary,tt0066237,1
6437,Gaja Basu Mamata Chatterjee,Gaja Basu,nm5192755,Mamata Chatterjee,nm0154137,The Adversary,tt0066237,1
6438,Gaja Basu Mihir Chakravarti,Gaja Basu,nm5192755,Mihir Chakravarti,nm0149843,The Adversary,tt0066237,1
6439,Gaja Basu Mihir Pal,Gaja Basu,nm5192755,Mihir Pal,nm3605715,The Adversary,tt0066237,1
6440,Gaja Basu Miss Shefali,Gaja Basu,nm5192755,Miss Shefali,nm0790750,The Adversary,tt0066237,1
6441,Gaja Basu Mulesh Jain,Gaja Basu,nm5192755,Mulesh Jain,nm5582528,The Adversary,tt0066237,1
6442,Gaja Basu Nihar Roy,Gaja Basu,nm5192755,Nihar Roy,nm5582225,The Adversary,tt0066237,1
6443,Gaja Basu Parameshwar Raut,Gaja Basu,nm5192755,Parameshwar Raut,nm5582819,The Adversary,tt0066237,1
6444,Gaja Basu Pisu Majumdar,Gaja Basu,nm5192755,Pisu Majumdar,nm0538298,The Adversary,tt0066237,1
6445,Gaja Basu Rajesh,Gaja Basu,nm5192755,Rajesh,nm2860034,The Adversary,tt0066237,1
6446,Gaja Basu Ranajit Chatterjee,Gaja Basu,nm5192755,Ranajit Chatterjee,nm5582040,The Adversary,tt0066237,1
6447,Gaja Basu Ratanlal Chowdhury,Gaja Basu,nm5192755,Ratanlal Chowdhury,nm5581086,The Adversary,tt0066237,1
6448,Gaja Basu Samir Nag,Gaja Basu,nm5192755,Samir Nag,nm5580049,The Adversary,tt0066237,1
6449,Gaja Basu Soumitra Bannerjee,Gaja Basu,nm5192755,Soumitra Bannerjee,nm1548032,The Adversary,tt0066237,1
6450,Gaja Basu Soven Lahiri,Gaja Basu,nm5192755,Soven Lahiri,nm0481574,The Adversary,tt0066237,1
6451,Gaja Basu Tapan Roy,Gaja Basu,nm5192755,Tapan Roy,nm4939793,The Adversary,tt0066237,1
6452,Gangapada Basu Amar Mullick,Gangapada Basu,nm0060610,Amar Mullick,nm0612280,Paras-Pathar,tt0052046,1
6453,Gangapada Basu Bharati Devi,Gangapada Basu,nm0060610,Bharati Devi,nm0080249,Paras-Pathar,tt0052046,1
6454,Gangapada Basu Bireswar Sen,Gangapada Basu,nm0060610,Bireswar Sen,nm0784001,Paras-Pathar,tt0052046,1
6455,Gangapada Basu Bismillah Khan,Gangapada Basu,nm0060610,Bismillah Khan,nm0451190,The Music Room,tt0051792,1
6456,Gangapada Basu Chandrabati Devi,Gangapada Basu,nm0060610,Chandrabati Devi,nm0222443,Paras-Pathar,tt0052046,1
6457,Gangapada Basu Chhabi Biswas,Gangapada Basu,nm0060610,Chhabi Biswas,nm0084435,The Music Room,tt0051792,1
6458,Gangapada Basu Chhabi Biswas,Gangapada Basu,nm0060610,Chhabi Biswas,nm0084435,Paras-Pathar,tt0052046,1
6459,Gangapada Basu Gangapada Basu,Gangapada Basu,nm0060610,Gangapada Basu,nm0060610,The Music Room,tt0051792,1
6460,Gangapada Basu Gangapada Basu,Gangapada Basu,nm0060610,Gangapada Basu,nm0060610,Paras-Pathar,tt0052046,1
6461,Gangapada Basu Haridhan Mukherjee,Gangapada Basu,nm0060610,Haridhan Mukherjee,nm0154128,Paras-Pathar,tt0052046,1
6462,Gangapada Basu Jahar Ganguli,Gangapada Basu,nm0060610,Jahar Ganguli,nm0304349,Paras-Pathar,tt0052046,1
6463,Gangapada Basu Jahar Roy,Gangapada Basu,nm0060610,Jahar Roy,nm0712854,Paras-Pathar,tt0052046,1
6464,Gangapada Basu Kali Bannerjee,Gangapada Basu,nm0060610,Kali Bannerjee,nm0052332,Paras-Pathar,tt0052046,1
6465,Gangapada Basu Kali Sarkar,Gangapada Basu,nm0060610,Kali Sarkar,nm0765269,The Music Room,tt0051792,1
6466,Gangapada Basu Kamal Mitra,Gangapada Basu,nm0060610,Kamal Mitra,nm0593951,Paras-Pathar,tt0052046,1
6467,Gangapada Basu Mani Srimani,Gangapada Basu,nm0060610,Mani Srimani,nm0820248,Paras-Pathar,tt0052046,1
6468,Gangapada Basu Nitish Mukherjee,Gangapada Basu,nm0060610,Nitish Mukherjee,nm0611541,Paras-Pathar,tt0052046,1
6469,Gangapada Basu Padmadevi,Gangapada Basu,nm0060610,Padmadevi,nm0222471,The Music Room,tt0051792,1
6470,Gangapada Basu Padmadevi,Gangapada Basu,nm0060610,Padmadevi,nm0222471,Paras-Pathar,tt0052046,1
6471,Gangapada Basu Pahadi Sanyal,Gangapada Basu,nm0060610,Pahadi Sanyal,nm0764406,Paras-Pathar,tt0052046,1
6472,Gangapada Basu Pinaki Sengupta,Gangapada Basu,nm0060610,Pinaki Sengupta,nm0348483,The Music Room,tt0051792,1
6473,Gangapada Basu Pratap Mukherjee,Gangapada Basu,nm0060610,Pratap Mukherjee,nm0611591,The Music Room,tt0051792,1
6474,Gangapada Basu Renuka Roy,Gangapada Basu,nm0060610,Renuka Roy,nm0747159,Paras-Pathar,tt0052046,1
6475,Gangapada Basu Roshan Kumari,Gangapada Basu,nm0060610,Roshan Kumari,nm0474935,The Music Room,tt0051792,1
6476,Gangapada Basu Salamat Ali Khan,Gangapada Basu,nm0060610,Salamat Ali Khan,nm0451310,The Music Room,tt0051792,1
6477,Gangapada Basu Santosh Dutta,Gangapada Basu,nm0060610,Santosh Dutta,nm0244904,Paras-Pathar,tt0052046,1
6478,Gangapada Basu Subodh Ganguli,Gangapada Basu,nm0060610,Subodh Ganguli,nm0304354,Paras-Pathar,tt0052046,1
