,source_target,source,sourceID,target,targetID,movies,moviesID,connections_y,
3,Abani Mukherjee Ajit Banerjee,Abani Mukherjee,nm0611505,Ajit Banerjee,nm0051830,Abhijaan,Abhijaan,1,FALSE
4,Abani Mukherjee Ajoy Banerjee,Abani Mukherjee,nm0611505,Ajoy Banerjee,nm0051831,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
5,Abani Mukherjee Arun Roy,Abani Mukherjee,nm0611505,Arun Roy,nm0746935,Abhijaan,Abhijaan,1,FALSE
6,Abani Mukherjee Ashok Mitra,Abani Mukherjee,nm0611505,Ashok Mitra,nm1371495,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
7,Abani Mukherjee Bimal Chatterjee,Abani Mukherjee,nm0611505,Bimal Chatterjee,nm0154115,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
8,Abani Mukherjee Binoy Dutta,Abani Mukherjee,nm0611505,Binoy Dutta,nm4557729,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
9,Abani Mukherjee Biplab Chatterjee,Abani Mukherjee,nm0611505,Biplab Chatterjee,nm0154118,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
10,Abani Mukherjee Bireswar Sen,Abani Mukherjee,nm0611505,Bireswar Sen,nm0784001,Abhijaan,Abhijaan,1,FALSE
11,Abani Mukherjee Charuprakash Ghosh,Abani Mukherjee,nm0611505,Charuprakash Ghosh,nm0315882,Abhijaan,Abhijaan,1,FALSE
12,Abani Mukherjee Chinmoy Roy,Abani Mukherjee,nm0611505,Chinmoy Roy,nm0746961,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
13,Abani Mukherjee Dilip Bose,Abani Mukherjee,nm0611505,Dilip Bose,nm4435113,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
14,Abani Mukherjee Durgadas Bannerjee,Abani Mukherjee,nm0611505,Durgadas Bannerjee,nm1274537,Abhijaan,Abhijaan,1,FALSE
15,Abani Mukherjee Durgadas Bannerjee,Abani Mukherjee,nm0611505,Durgadas Bannerjee,nm1274537,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
16,Abani Mukherjee Gopal Dey,Abani Mukherjee,nm0611505,Gopal Dey,nm0223342,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
17,Abani Mukherjee Govinda Chakravarti,Abani Mukherjee,nm0611505,Govinda Chakravarti,nm0149838,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
18,Abani Mukherjee Haradhan Bannerjee,Abani Mukherjee,nm0611505,Haradhan Bannerjee,nm0052329,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
19,Abani Mukherjee Haridhan Mukherjee,Abani Mukherjee,nm0611505,Haridhan Mukherjee,nm0154128,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
20,Abani Mukherjee Haridhan Nag,Abani Mukherjee,nm0611505,Haridhan Nag,nm5570266,Abhijaan,Abhijaan,1,FALSE
21,Abani Mukherjee Harindranath Chattopadhyay,Abani Mukherjee,nm0611505,Harindranath Chattopadhyay,nm0154129,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
22,Abani Mukherjee Jahar Roy,Abani Mukherjee,nm0611505,Jahar Roy,nm0712854,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
23,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
24,Abani Mukherjee Kamu Mukherjee,Abani Mukherjee,nm0611505,Kamu Mukherjee,nm0611536,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
25,Abani Mukherjee Kartik Chatterjee,Abani Mukherjee,nm0611505,Kartik Chatterjee,nm0154135,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
26,Abani Mukherjee Khagen Pathak,Abani Mukherjee,nm0611505,Khagen Pathak,nm0665546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
27,Abani Mukherjee Mani Srimani,Abani Mukherjee,nm0611505,Mani Srimani,nm0820248,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
28,Abani Mukherjee Monu Mukherjee,Abani Mukherjee,nm0611505,Monu Mukherjee,nm0611540,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
29,Abani Mukherjee Noni Ganguly,Abani Mukherjee,nm0611505,Noni Ganguly,nm0304363,Abhijaan,Abhijaan,1,FALSE
30,Abani Mukherjee Nripati Chatterjee,Abani Mukherjee,nm0611505,Nripati Chatterjee,nm0154142,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
31,Abani Mukherjee Prasad Mukherjee,Abani Mukherjee,nm0611505,Prasad Mukherjee,nm0611546,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
32,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,Abhijaan,Abhijaan,1,FALSE
33,Abani Mukherjee Rabi Ghosh,Abani Mukherjee,nm0611505,Rabi Ghosh,nm0315917,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
34,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,Joi Baba Felunath: The Elephant God,Joi Baba Felunath: The Elephant God,1,FALSE
35,Abani Mukherjee Rajkumar Lahiri,Abani Mukherjee,nm0611505,Rajkumar Lahiri,nm1708115,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
36,Abani Mukherjee Ratan Banerjee,Abani Mukherjee,nm0611505,Ratan Banerjee,nm0051844,The Adventures of Goopy and Bagha,The Adventures of Goopy and Bagha,1,FALSE
37,Abani Mukherjee Reba Devi,Abani Mukherjee,nm0611505,Reba Devi,nm0222480,Abhijaan,Abhijaan,1,FALSE
38,Abani Mukherjee Ruma Guha Thakurta,Abani Mukherjee,nm0611505,Ruma Guha Thakurta,nm0346614,Abhijaan,Abhijaan,1,FALSE
