decade,actor,film,year,name,gender,personID,repeat
1970s,Samar Nag,Days and Nights in the Forest,1970,unnamed,Male,nm4554192,2
1960s,Binoy Dutta,The Zoo,1967,unnamed,Male,nm4557729,2
1960s,Binoy Dutta,The Adventures of Goopy and Bagha,1969,unnamed,Male,nm4557729,2
1970s,Sujit Ganguly,The Golden Fortress,1974,unnamed,Male,nm4814705,2
1970s,Sujit Ganguly,The Golden Fortress,1974,unnamed,Male,nm4814705,2
1960s,Prabhat Sarkar,Charulata,1964,unnamed,Male,nm4820275,2
1960s,Prabhat Sarkar,The Holy Man,1965,unnamed,Male,nm4820275,2
1960s,Ajit Gupta,Charulata,1964,unnamed,Male,nm4820297,2
1960s,Ajit Gupta,The Holy Man,1965,unnamed,Male,nm4820297,2
1970s,Subal Dutta,Distant Thunder,1973,unnamed,Male,nm4866235,2
1980s,Subal Dutta,Heerak Rajar Deshe,1980,unnamed,Male,nm4866235,2
1980s,Somenath Majumdar,Ghare-Baire,1984,unnamed,Male,nm5010491,2
1980s,Somenath Majumdar,An Enemy of the People,1989,unnamed,Male,nm5010491,2
1960s,Samir Lahiri,The Big City,1963,unnamed,Male,nm5566545,2
1970s,Samir Lahiri,The Middleman,1975,unnamed,Male,nm5566545,2
1980s,Arup Pal Chowdhury,Ghare-Baire,1984,unnamed,Male,nm5591378,2
1980s,Arup Pal Chowdhury,An Enemy of the People,1989,unnamed,Male,nm5591378,2
